player_id,short_name,value_eur,age,club_name,nationality_name
227278,G. Berggren,1200000,24,Raków Częstochowa,Sweden
170305,C. Skuse,140000,35,Colchester United,England
261026,S. Vargas,700000,19,Nacional Asunción,Paraguay
263100,M. Talent-Aryeetey,220000,18,Reading,England
258575,E. Agbadou,2600000,24,AS Eupen,Côte d'Ivoire
244963,Ivanildo Fernandes,2500000,25,Vizela,Portugal
248748,A. Ocampo-Chavez,250000,19,Seattle Sounders,United States
255941,N. Smith,300000,20,Central Coast Mariners,Australia
272708,P. Madanha,300000,17,Adelaide United,Australia
230303,Marcelo Vildeia,650000,25,Grêmio,Brazil
246186,Arthur Cabral,17000000,23,Fiorentina,Brazil
248183,V. Yuel,450000,26,Newcastle Jets,South Sudan
228061,M. Bali,210000,31,Qingdao Hainiu,China PR
235243,M. de Ligt,71000000,21,Juventus,Netherlands
245125,P. Plewka,1000000,21,Wisła Kraków,Poland
226380,Hwang Hee Chan,12500000,25,Wolverhampton Wanderers,Korea Republic
208892,S. Byram,2300000,27,Norwich City,England
216730,S. Gregersen,2100000,27,Bordeaux,Norway
176841,L. Jutkiewicz,550000,33,Birmingham City,England
242402,A. Eisa,475000,25,Bradford City,Sudan
202841,J. Carroll,625000,29,Motherwell,Republic of Ireland
242181,Neto Borges,2600000,24,Tondela,Brazil
192231,J. Edwards,750000,31,Plymouth Argyle,England
270834,A. Rebbach,925000,23,Deportivo Alavés,Algeria
224915,S. Wright,1700000,23,Rangers,Scotland
231745,L. Dimata,4200000,23,Espanyol,Belgium
247246,K. Thuram,16500000,20,Nice,France
260217,O. Heil,875000,20,Go Ahead Eagles,Germany
263504,B. Leyes,1600000,20,Godoy Cruz,Argentina
251819,J. Neufville,275000,21,Luton Town,England
262761,Y. Ozaki,350000,17,Vissel Kobe,Japan
182362,Tan Wangsong,60000,35,Tianjin Teda,China PR
228236,S. Deli,2500000,30,Adana Demirspor,Côte d'Ivoire
245384,P. Christiansen,550000,21,SønderjyskE,Denmark
200108,N. Boilesen,2000000,29,København,Denmark
234293,A. Tanaka,450000,33,HJK,Japan
191572,Zheng Zheng,775000,32,Shandong Luneng,China PR
252749,P. Akono,475000,21,AS Eupen,Cameroon
